@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.36,0.48,0.33,0.6,0.36,0.18,8,10,0.21,0.5,0.38,0.6,2,N
0.36,0.46,0.33,0.53,0.36,0.19,8,10,0.29,0.56,0.44,0.65,2,N
0.36,0.46,0.33,0.53,0.36,0.18,8,10,0.36,0.39,0.5,0.5,2,N
0.36,0.35,0.43,0.53,0.46,0.31,8,10,0.14,0.44,0.25,0.55,1,Y
0.31,0.31,0.29,0.29,0.31,0.31,8,10,0.5,0.5,0.6,0.6,2,N
0.29,0.31,0.35,0.29,0.27,0.31,8,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.36,0.48,0.33,0.6,0.36,0.18,8,10,0.21,0.5,0.38,0.6,2,N
0.36,0.46,0.33,0.53,0.36,0.19,8,10,0.29,0.56,0.44,0.65,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.57,0.33,0.69,0.43,0.19,0.19,10,10,0.5,0.5,0.6,0.6,2,N
0.57,0.33,0.62,0.43,0.19,0.19,10,10,0.56,0.33,0.65,0.45,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.67,0.33,0.71,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.64,0.33,0.73,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.69,0.33,0.76,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.57,0.33,0.69,0.43,0.19,0.19,10,10,0.5,0.5,0.6,0.6,2,N
0.57,0.33,0.62,0.43,0.19,0.19,10,10,0.56,0.33,0.65,0.45,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.36,0.48,0.33,0.6,0.36,0.18,8,10,0.21,0.5,0.38,0.6,2,N
0.57,0.33,0.62,0.43,0.19,0.19,10,10,0.56,0.33,0.65,0.45,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.69,0.33,0.76,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.57,0.33,0.69,0.43,0.19,0.19,10,10,0.5,0.5,0.6,0.6,2,N
0.57,0.33,0.62,0.43,0.19,0.19,10,10,0.56,0.33,0.65,0.45,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
0.43,0.31,0.53,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.36,0.48,0.33,0.6,0.36,0.18,8,10,0.21,0.5,0.38,0.6,2,N
0.36,0.46,0.33,0.53,0.36,0.19,8,10,0.29,0.56,0.44,0.65,2,N
0.36,0.46,0.33,0.53,0.36,0.18,8,10,0.36,0.39,0.5,0.5,2,N
0.43,0.31,0.5,0.29,0.31,0.31,10,10,0.44,0.44,0.55,0.55,2,N
0.31,0.31,0.29,0.29,0.31,0.31,10,10,0.5,0.5,0.6,0.6,2,N
0.34,0.31,0.47,0.29,0.27,0.31,12,10,0.55,0.33,0.62,0.4,2,N
0.6,0.7,0.67,0.78,0.45,0.23,6,8,0,0.29,0.08,0.44,2,N
0.44,0.57,0.4,0.69,0.45,0.22,6,8,0,0.36,0.17,0.5,2,N
0.44,0.55,0.4,0.62,0.45,0.23,6,8,0,0.43,0.25,0.56,2,N
0.44,0.55,0.4,0.62,0.45,0.22,6,8,0.1,0.21,0.33,0.38,2,N
0.44,0.42,0.5,0.62,0.55,0.36,6,8,0,0.29,0,0.44,1,Y
0.36,0.36,0.33,0.33,0.36,0.36,6,8,0.36,0.36,0.5,0.5,2,N
0.33,0.36,0.4,0.33,0.31,0.36,6,8,0.44,0.14,0.55,0.25,2,N
0.6,0.7,0.67,0.78,0.45,0.23,6,8,0,0.29,0.08,0.44,2,N
0.67,0.4,0.78,0.5,0.23,0.23,8,8,0.36,0.36,0.5,0.5,2,N
0.67,0.4,0.71,0.5,0.23,0.23,8,8,0.43,0.14,0.56,0.31,2,N
0.55,0.36,0.62,0.33,0.23,0.23,8,8,0.21,0.21,0.38,0.38,2,N
0.47,0.36,0.62,0.33,0.36,0.36,8,8,0.29,0.29,0.44,0.44,2,N
0.36,0.36,0.33,0.33,0.36,0.36,8,8,0.36,0.36,0.5,0.5,2,N
0.43,0.36,0.53,0.33,0.31,0.36,10,8,0.44,0.14,0.55,0.25,2,N
0.6,0.7,0.67,0.78,0.45,0.23,6,8,0,0.29,0.08,0.44,2,N
0.44,0.57,0.4,0.69,0.45,0.22,6,8,0,0.36,0.17,0.5,2,N
0.44,0.55,0.4,0.62,0.45,0.23,6,8,0,0.43,0.25,0.56,2,N
0.44,0.55,0.4,0.62,0.45,0.22,6,8,0.1,0.21,0.33,0.38,2,N
0.44,0.42,0.5,0.62,0.55,0.36,6,8,0,0.29,0,0.44,1,Y
0.36,0.36,0.33,0.33,0.36,0.36,6,8,0.36,0.36,0.5,0.5,2,N
0.33,0.36,0.43,0.33,0.31,0.36,6,8,0.44,0.14,0.55,0.25,2,N
0.6,0.7,0.67,0.78,0.45,0.23,6,8,0,0.29,0.08,0.44,2,N
0.44,0.57,0.4,0.69,0.45,0.22,6,8,0,0.36,0.17,0.5,2,N
0.44,0.55,0.4,0.62,0.45,0.23,6,8,0,0.43,0.25,0.56,2,N
0.55,0.36,0.62,0.33,0.23,0.23,8,8,0.21,0.21,0.38,0.38,2,N
0.5,0.36,0.62,0.33,0.36,0.36,8,8,0.29,0.29,0.44,0.44,2,N
0.36,0.36,0.33,0.33,0.36,0.36,8,8,0.36,0.36,0.5,0.5,2,N
0.43,0.36,0.53,0.33,0.31,0.36,10,8,0.44,0.14,0.55,0.25,2,N
0.77,0.4,0.8,0.5,0.23,0.23,8,8,0.29,0.29,0.44,0.44,2,N
0.67,0.4,0.78,0.5,0.23,0.23,8,8,0.36,0.36,0.5,0.5,2,N
0.67,0.4,0.71,0.5,0.23,0.23,8,8,0.43,0.14,0.56,0.31,2,N
0.55,0.36,0.62,0.33,0.23,0.23,8,8,0.21,0.21,0.38,0.38,2,N
0.47,0.36,0.62,0.33,0.36,0.36,8,8,0.29,0.29,0.44,0.44,2,N
0.36,0.36,0.33,0.33,0.36,0.36,8,8,0.36,0.36,0.5,0.5,2,N
