ob,r,d,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_3_3 PLACE_3_4,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.42,1,2,0.0,N
MOVE PLACE_2_4 PLACE_2_5,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_5 PLACE_3_5,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.42,1,2,0.0,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.02,-1,12,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.03,-1,11,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.05,-1,10,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.08,-1,9,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_12 PLACE_3_13,0.0,0.28,-1,2,NaN,N
MOVE PLACE_3_13 PLACE_4_13,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_13 PLACE_4_14,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.02,-1,12,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.03,-1,11,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.05,-1,10,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.08,-1,9,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.13,-1,8,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.21,-1,7,NaN,N
